round,tile,deal_in_count,round_total,rate_%
7,白,6547,498640,1.3129712818867318
7,南,6394,498640,1.2822878228782288
7,西,4107,498640,0.8236403016204075
7,北,4078,498640,0.8178244825926521
7,東,3704,498640,0.7428204716829777
8,7s,762,18182,4.1909580904190955
8,3m,751,18182,4.130458695413046
8,7m,750,18182,4.124958750412496
8,5m,743,18182,4.086459135408646
8,5p,734,18182,4.036959630403696
8,7p,725,18182,3.987460125398746
8,5s,721,18182,3.9654603453965462
8,3p,719,18182,3.954460455395446
8,3s,718,18182,3.948960510394896
8,6p,693,18182,3.811461885381146
8,2m,689,18182,3.7894621053789463
8,6m,687,18182,3.7784622153778464
8,8s,684,18182,3.7619623803761963
8,8m,678,18182,3.728962710372896
8,4m,678,18182,3.728962710372896
8,8p,677,18182,3.7234627653723464
8,4s,651,18182,3.5804641953580463
8,4p,647,18182,3.5584644153558465
8,6s,635,18182,3.4924650753492466
8,2s,617,18182,3.3934660653393465
8,2p,502,18182,2.7609723902760974
8,9s,447,18182,2.4584754152458475
8,9p,446,18182,2.4529754702452977
8,1m,423,18182,2.3264767352326476
8,1s,416,18182,2.2879771202287977
8,1p,329,18182,1.809481905180948
8,9m,308,18182,1.6939830601693984
8,中,241,18182,1.3254867451325487
8,白,239,18182,1.3144868551314486
8,發,233,18182,1.2814871851281486
8,西,224,18182,1.2319876801231988
8,東,145,18182,0.7974920250797493
8,北,143,18182,0.7864921350786492
8,南,127,18182,0.6984930150698493
9,5s,330,7065,4.670912951167728
9,5m,304,7065,4.302901627742392
9,7p,304,7065,4.302901627742392
9,5p,293,7065,4.147204529370135
9,3p,289,7065,4.090587402689313
9,8p,280,7065,3.9631988676574665
9,6m,266,7065,3.765038924274593
9,7m,266,7065,3.765038924274593
9,3s,264,7065,3.7367303609341826
9,3m,261,7065,3.694267515923567
9,6s,260,7065,3.6801132342533616
9,2s,259,7065,3.665958952583156
9,8m,257,7065,3.637650389242746
9,6p,251,7065,3.5527246992215145
9,8s,251,7065,3.5527246992215145
9,4s,249,7065,3.524416135881104
9,2m,247,7065,3.4961075725406934
9,7s,245,7065,3.467799009200283
9,4p,239,7065,3.3828733191790517
9,4m,236,7065,3.340410474168436
9,2p,200,7065,2.8308563340410475
9,9s,183,7065,2.5902335456475583
9,9p,165,7065,2.335456475583864
9,1m,163,7065,2.3071479122434537
9,1s,161,7065,2.278839348903043
9,9m,150,7065,2.1231422505307855
9,1p,141,7065,1.9957537154989384
9,西,105,7065,1.4861995753715498
9,白,90,7065,1.2738853503184713
9,發,86,7065,1.2172682236376504
9,中,83,7065,1.1748053786270347
9,東,72,7065,1.019108280254777
9,南,59,7065,0.835102618542109
9,北,56,7065,0.7926397735314933
10,5s,137,2973,4.608139926000673
10,8m,126,2973,4.238143289606458
10,7s,124,2973,4.170871173898419
10,5p,123,2973,4.137235116044399
